date,open,high,low,close,volume,trade_count,vwap,symbol
12/4/2019,79.4,79.63,79.11,79.4,789451,9169,79.36413,BUD
12/5/2019,79.09,79.22,78.35,78.63,544822,7719,78.694727,BUD
12/6/2019,78.94,79.59,78.731,79.36,722235,7678,79.26014,BUD
12/9/2019,78.7,79.13,78.7,78.9,602963,8154,78.926213,BUD
12/10/2019,77.76,78.47,77.61,78.15,1135799,12501,78.055719,BUD
12/11/2019,78.09,78.87,78.0599,78.77,691576,7127,78.610688,BUD
12/12/2019,77.2,78.23,76.9,77.77,1393692,14360,77.580874,BUD
12/13/2019,78.2,78.454,77.83,77.91,942885,12280,78.071369,BUD
12/16/2019,79.56,80.1844,79.31,80.01,1362846,11527,79.875274,BUD
12/17/2019,79.55,79.64,79.22,79.51,772695,8763,79.48278,BUD
12/18/2019,80.5,80.52,79.7929,80.48,1936755,14424,80.313456,BUD
12/19/2019,80.28,80.54,79.965,80.51,934619,12314,80.31961,BUD
12/20/2019,81.21,82.11,81.18,81.99,1257748,12810,81.744643,BUD
12/23/2019,82.43,82.565,81.84,81.86,999276,9954,82.178308,BUD
12/24/2019,81.66,82.11,81.37,81.61,350123,4829,81.711064,BUD
12/26/2019,81.55,82.45,81.55,82.37,612954,6715,82.187782,BUD
12/27/2019,83,83.35,82.89,83.12,794948,8326,83.105577,BUD
12/30/2019,82.64,82.94,82.28,82.38,697112,8703,82.555299,BUD
12/31/2019,82,82.195,81.8332,82.04,804651,7067,82.019803,BUD
1/2/2020,82.76,83.54,82.71,83.45,920521,10274,83.268654,BUD
1/3/2020,82.3,83.18,82.3,82.75,794464,8218,82.915433,BUD
1/6/2020,83.16,83.47,82.925,83.33,857449,8634,83.231018,BUD
1/7/2020,82.88,82.89,81.08,81.61,1226412,13269,81.890726,BUD
1/8/2020,81.61,82.5,81.34,81.98,997646,11891,81.931127,BUD
1/9/2020,82.15,82.23,80.95,80.98,1202388,13719,81.347519,BUD
1/10/2020,81.37,82.03,81.29,81.49,811710,10334,81.67559,BUD
1/13/2020,80.45,81.28,80.16,81.28,958991,11436,80.844057,BUD
1/14/2020,80,80.5402,79.9,80.01,1095645,13352,80.133237,BUD
1/15/2020,80.25,80.43,79.86,80.17,1301415,14802,80.155486,BUD
1/16/2020,79.54,79.95,79.54,79.67,1228411,13196,79.752207,BUD
1/17/2020,80.09,80.28,79.71,80.03,801587,7701,79.969429,BUD
1/21/2020,78.92,79.19,78.64,78.81,1270134,14107,78.861008,BUD
1/22/2020,78.4,78.43,77.98,78.11,1117617,13805,78.182866,BUD
1/23/2020,77.82,78.2864,77.27,78.26,1250439,15254,77.885628,BUD
1/24/2020,78.04,78.47,77.259,77.74,1026465,11445,77.877357,BUD
1/27/2020,75.61,75.91,75.31,75.58,1341010,15529,75.617473,BUD
1/28/2020,75.37,76.55,75.29,76.26,1147525,12541,76.028413,BUD
1/29/2020,76.1,76.44,75.81,75.97,811904,9588,76.13251,BUD
1/30/2020,75.5,76.21,75.33,76.17,927027,10827,75.660379,BUD
1/31/2020,75.86,75.96,75.06,75.3,1050826,12966,75.501023,BUD
2/3/2020,75.24,75.88,75.03,75.09,914770,10343,75.332374,BUD
2/4/2020,76.11,76.705,75.97,76.29,980119,11512,76.379201,BUD
2/5/2020,76.56,76.98,76.51,76.67,833125,9779,76.714403,BUD
2/6/2020,76.79,76.86,76.47,76.57,640829,7192,76.655676,BUD
2/7/2020,74.73,75.08,74.38,74.8,1557034,14578,74.805539,BUD
2/10/2020,74.14,74.68,73.98,74.59,929409,10367,74.420606,BUD
2/11/2020,74,74.34,73.92,74.03,1414415,13774,74.110059,BUD
2/12/2020,74.22,74.55,73.88,74.06,1341677,12343,74.187118,BUD
2/13/2020,73.19,74.11,72.9,73.7,1370454,12869,73.615426,BUD
2/14/2020,73.82,73.91,73.21,73.45,943286,8730,73.635061,BUD
2/18/2020,73.09,73.7,73.07,73.5,1073439,10274,73.454383,BUD
2/19/2020,73.49,73.73,73.16,73.6,877385,9216,73.499638,BUD
2/20/2020,73.53,73.78,72.71,73.26,1008175,11404,73.228615,BUD
2/21/2020,71.93,72.12,71.43,71.6,1958331,18970,71.761307,BUD
2/24/2020,69.06,70.04,68.78,69.36,2308899,23303,69.521055,BUD
2/25/2020,68.09,68.58,66.77,66.92,2412847,23859,67.553276,BUD
2/26/2020,67,67.73,66.25,66.29,1970902,22718,66.954274,BUD
2/27/2020,60.74,62.38,60.2,60.21,6304489,55231,61.021147,BUD
2/28/2020,56.2,58.57,55.4,58.37,9497056,70122,56.727428,BUD
3/2/2020,57.51,58.66,57.01,58.6,5596610,42689,57.600688,BUD
3/3/2020,57,58.17,56.26,56.65,3169136,31522,57.114246,BUD
3/4/2020,57.61,57.85,56.49,57.81,2160320,23486,57.214877,BUD
3/5/2020,56.38,56.3997,55.03,55.57,4127321,30599,55.779951,BUD
3/6/2020,54.59,55.17,53.2,53.8,2954465,30185,54.089582,BUD
3/9/2020,51,51.24,47.865,48.3,5838379,48617,49.500497,BUD
3/10/2020,50.06,51.48,48.4,51.13,4517068,39143,50.030911,BUD
3/11/2020,50.18,50.73,48.53,49.2,3175117,36127,49.64414,BUD
3/12/2020,43,44.48,40.85,44.01,8461358,58046,43.164076,BUD
3/13/2020,45.29,45.39,42.65,44.29,7416746,52998,44.032288,BUD
3/16/2020,39.28,40.11,36.21,37.2,9490344,76140,38.092344,BUD
3/17/2020,35.16,39.03,34.26,38.1,9636251,69621,36.243444,BUD
3/18/2020,34.31,36.06,32.76,35.18,10166413,71993,34.450478,BUD
3/19/2020,32.71,38,32.58,36.36,6240897,47812,35.583114,BUD
3/20/2020,40.5,42.88,39.78,40.3,4473617,37651,41.363511,BUD
3/23/2020,39.67,43.5,39.34,41.8,2887534,24648,41.126203,BUD
3/24/2020,44.33,44.48,43.034,43.93,3673544,29649,43.789138,BUD
3/25/2020,43,47,42.99,45.59,4876056,32488,44.961675,BUD
3/26/2020,44.3,46.99,44.29,46.3,4089482,29520,45.614278,BUD
3/27/2020,43.36,43.9699,42.3413,42.99,3302504,30232,42.947751,BUD
3/30/2020,42.36,43.09,41.67,42.87,2709729,21927,42.436069,BUD
3/31/2020,42.73,45.18,42.63,44.12,3025978,24272,44.089063,BUD
4/1/2020,44.42,44.45,43,43.05,1281505,13914,43.515515,BUD
4/2/2020,42.5,44.26,42.08,43.97,3564241,14221,43.521745,BUD
4/3/2020,43.63,44.08,42.6,43.46,1477653,13931,43.235924,BUD
4/6/2020,44.15,45.62,44.12,44.68,2642363,26033,44.67146,BUD
